OBJECTID,REP_DATE,DOW,YEAR,NARCAN_ADM
3341,2017/08/19 04:00:00+00,Saturday,2017,N/A
3342,2019/07/13 04:00:00+00,Saturday,2019,N/A
3343,2019/10/04 04:00:00+00,Friday,2019,N/A
3344,2019/10/01 04:00:00+00,Tuesday,2019,N/A
3345,2021/03/02 05:00:00+00,Tuesday,2021,No
3346,2021/04/03 04:00:00+00,Saturday,2021,Yes
3347,2021/03/07 05:00:00+00,Sunday,2021,No
3348,2020/04/26 04:00:00+00,Sunday,2020,N/A
3349,2018/02/09 05:00:00+00,Friday,2018,N/A
3350,2019/11/08 05:00:00+00,Friday,2019,N/A
3351,2019/11/24 05:00:00+00,Sunday,2019,N/A
3352,2020/10/23 04:00:00+00,Friday,2020,No
3353,2020/07/31 04:00:00+00,Friday,2020,N/A
3354,2020/07/02 04:00:00+00,Thursday,2020,N/A
3355,2019/02/06 05:00:00+00,Wednesday,2019,N/A
3356,2019/10/30 04:00:00+00,Wednesday,2019,N/A
3357,2022/02/23 05:00:00+00,Tuesday,2022,N/A
3358,2020/10/10 04:00:00+00,Saturday,2020,No
3359,2022/04/01 04:00:00+00,Monday,2022,Yes
3360,2021/01/13 05:00:00+00,Wednesday,2021,Unknown
3361,2019/05/21 04:00:00+00,Tuesday,2019,N/A
3362,2019/04/07 04:00:00+00,Sunday,2019,N/A
3363,2020/10/07 04:00:00+00,Wednesday,2020,Unknown
3364,2021/05/09 04:00:00+00,Sunday,2021,Yes
3365,2022/03/17 04:00:00+00,Wednesday,2022,N/A
3366,2018/08/10 04:00:00+00,Friday,2018,N/A
3367,2019/10/29 04:00:00+00,Tuesday,2019,N/A
3368,2020/08/08 04:00:00+00,Saturday,2020,N/A
3369,2018/07/23 04:00:00+00,Monday,2018,N/A
3370,2019/03/01 05:00:00+00,Friday,2019,N/A
3371,2020/12/22 05:00:00+00,Tuesday,2020,Unknown
3372,2018/07/14 04:00:00+00,Saturday,2018,N/A
3373,2020/03/09 04:00:00+00,Monday,2020,N/A
3374,2021/02/16 05:00:00+00,Tuesday,2021,Unknown
3375,2018/01/18 05:00:00+00,Thursday,2018,N/A
3376,2022/06/24 04:00:00+00,Monday,2022,Yes
3377,2018/07/31 04:00:00+00,Tuesday,2018,N/A
3378,2020/03/03 05:00:00+00,Tuesday,2020,N/A
3379,2020/05/15 04:00:00+00,Friday,2020,N/A
3380,2020/11/11 05:00:00+00,Wednesday,2020,Unknown
3381,2022/03/29 04:00:00+00,Sunday,2022,Yes
3382,2022/07/25 04:00:00+00,Wednesday,2022,Yes
3383,2017/08/15 04:00:00+00,Tuesday,2017,N/A
3384,2017/09/01 04:00:00+00,Friday,2017,N/A
3385,2020/06/12 04:00:00+00,Friday,2020,N/A
3386,2019/03/24 04:00:00+00,Sunday,2019,N/A
3387,2019/12/02 05:00:00+00,Monday,2019,N/A
3388,2022/08/01 04:00:00+00,Friday,2022,N/A
3389,2022/09/30 04:00:00+00,Friday,2022,Yes
3390,2020/09/03 04:00:00+00,Thursday,2020,N/A
3391,2020/09/20 04:00:00+00,Sunday,2020,Yes
3392,2017/09/13 04:00:00+00,Wednesday,2017,N/A
3393,2020/04/29 04:00:00+00,Wednesday,2020,N/A
3394,2017/06/19 04:00:00+00,Monday,2017,N/A
3395,2017/08/18 04:00:00+00,Friday,2017,N/A
3396,2021/09/21 04:00:00+00,Tuesday,2021,Yes
3397,2021/10/25 04:00:00+00,Monday,2021,N/A
3398,2021/11/22 05:00:00+00,Monday,2021,Yes
3399,2021/12/06 05:00:00+00,Monday,2021,Yes
3400,2022/01/04 05:00:00+00,Friday,2022,Yes
3401,2022/03/13 05:00:00+00,Friday,2022,Yes
3402,2022/08/14 04:00:00+00,Monday,2022,Yes
3403,2021/03/14 05:00:00+00,Sunday,2021,Yes
3404,2019/08/19 04:00:00+00,Monday,2019,N/A
3405,2017/04/20 04:00:00+00,Thursday,2017,N/A
3406,2019/04/02 04:00:00+00,Tuesday,2019,N/A
3407,2021/05/24 04:00:00+00,Monday,2021,Yes
3408,2021/06/26 04:00:00+00,Saturday,2021,Yes
3409,2021/11/27 05:00:00+00,Saturday,2021,Yes
3410,2022/05/28 04:00:00+00,Tuesday,2022,Yes
3411,2017/03/08 05:00:00+00,Wednesday,2017,N/A
3412,2019/06/18 04:00:00+00,Tuesday,2019,N/A
3413,2018/10/12 04:00:00+00,Friday,2018,N/A
3414,2017/06/18 04:00:00+00,Sunday,2017,N/A
3415,2018/02/22 05:00:00+00,Thursday,2018,N/A
3416,2018/12/19 05:00:00+00,Wednesday,2018,N/A
3417,2020/12/15 05:00:00+00,Tuesday,2020,Yes
3418,2021/01/17 05:00:00+00,Sunday,2021,No
3419,2019/07/22 04:00:00+00,Monday,2019,N/A
3420,2019/06/16 04:00:00+00,Sunday,2019,N/A
3421,2017/05/16 04:00:00+00,Tuesday,2017,N/A
3422,2020/11/30 05:00:00+00,Monday,2020,No
3423,2022/02/06 05:00:00+00,Tuesday,2022,N/A
3424,2020/07/22 04:00:00+00,Wednesday,2020,N/A
3425,2020/09/20 04:00:00+00,Sunday,2020,No
3426,2020/09/09 04:00:00+00,Wednesday,2020,N/A
3427,2021/09/01 04:00:00+00,Wednesday,2021,Yes
3428,2021/10/02 04:00:00+00,Saturday,2021,N/A
3429,2017/06/19 04:00:00+00,Monday,2017,N/A
3430,2020/03/05 05:00:00+00,Thursday,2020,N/A
3431,2020/02/19 05:00:00+00,Wednesday,2020,N/A
3432,2018/05/01 04:00:00+00,Tuesday,2018,N/A
3433,2018/02/06 05:00:00+00,Tuesday,2018,N/A
3434,2019/01/14 05:00:00+00,Monday,2019,N/A
3435,2020/12/13 05:00:00+00,Sunday,2020,Unknown
3436,2021/06/14 04:00:00+00,Monday,2021,Yes
3437,2021/07/14 04:00:00+00,Wednesday,2021,Yes
3438,2022/08/10 04:00:00+00,Monday,2022,Yes
3439,2019/02/15 05:00:00+00,Friday,2019,N/A
3440,2019/04/01 04:00:00+00,Monday,2019,N/A
3441,2021/04/29 04:00:00+00,Thursday,2021,Yes
3442,2021/07/29 04:00:00+00,Thursday,2021,N/A
3443,2021/08/22 04:00:00+00,Sunday,2021,N/A
3444,2021/09/01 04:00:00+00,Wednesday,2021,Yes
3445,2022/12/19 05:00:00+00,Monday,2022,Yes
3446,2021/07/02 04:00:00+00,Friday,2021,No
3447,2017/04/23 04:00:00+00,Sunday,2017,N/A
3448,2017/04/24 04:00:00+00,Monday,2017,N/A
3449,2017/04/27 04:00:00+00,Thursday,2017,N/A
3450,2021/04/08 04:00:00+00,Thursday,2021,No
3451,2021/12/02 05:00:00+00,Thursday,2021,Yes
3452,2019/12/20 05:00:00+00,Friday,2019,N/A
3453,2022/07/03 04:00:00+00,Wednesday,2022,N/A
3454,2020/06/14 04:00:00+00,Sunday,2020,N/A
3455,2022/02/15 05:00:00+00,Saturday,2022,N/A
3456,2019/10/07 04:00:00+00,Monday,2019,N/A
3457,2020/07/04 04:00:00+00,Saturday,2020,N/A
3458,2020/08/07 04:00:00+00,Friday,2020,N/A
3459,2020/09/01 04:00:00+00,Tuesday,2020,N/A
3460,2021/10/16 04:00:00+00,Saturday,2021,N/A
3461,2022/06/01 04:00:00+00,Thursday,2022,Yes
3462,2022/12/08 05:00:00+00,Monday,2022,N/A
3463,2022/12/12 05:00:00+00,Tuesday,2022,Yes
3464,2018/09/21 04:00:00+00,Friday,2018,N/A
3465,2019/07/24 04:00:00+00,Wednesday,2019,N/A
3466,2020/09/21 04:00:00+00,Monday,2020,Unknown
3467,2019/04/07 04:00:00+00,Sunday,2019,N/A
3468,2017/04/18 04:00:00+00,Tuesday,2017,N/A
3469,2017/03/10 05:00:00+00,Friday,2017,N/A
3470,2020/09/17 04:00:00+00,Thursday,2020,No
3471,2019/07/30 04:00:00+00,Tuesday,2019,N/A
3472,2017/05/21 04:00:00+00,Sunday,2017,N/A
3473,2021/06/16 04:00:00+00,Wednesday,2021,Yes
3474,2021/09/04 04:00:00+00,Saturday,2021,Yes
3475,2021/12/25 05:00:00+00,Saturday,2021,Yes
3476,2022/02/09 05:00:00+00,Saturday,2022,Yes
3477,2022/02/24 05:00:00+00,Monday,2022,Yes
3478,2022/08/21 04:00:00+00,Saturday,2022,N/A
3479,2019/11/17 05:00:00+00,Sunday,2019,N/A
3480,2018/10/06 04:00:00+00,Saturday,2018,N/A
3481,2022/04/16 04:00:00+00,Tuesday,2022,N/A
3482,2020/07/27 04:00:00+00,Monday,2020,N/A
3483,2020/09/23 04:00:00+00,Wednesday,2020,Yes
3484,2021/07/23 04:00:00+00,Friday,2021,Yes
3485,2022/04/06 04:00:00+00,Friday,2022,N/A
3486,2022/05/01 04:00:00+00,Thursday,2022,N/A
3487,2022/05/01 04:00:00+00,Thursday,2022,Yes
3488,2020/12/27 05:00:00+00,Sunday,2020,No
3489,2020/08/08 04:00:00+00,Saturday,2020,N/A
3490,2022/08/13 04:00:00+00,Thursday,2022,Yes
3491,2019/05/30 04:00:00+00,Thursday,2019,N/A
3492,2019/03/28 04:00:00+00,Thursday,2019,N/A
3493,2022/03/23 04:00:00+00,Friday,2022,Yes
3494,2022/07/04 04:00:00+00,Saturday,2022,Yes
3495,2017/10/21 04:00:00+00,Saturday,2017,N/A
3496,2018/02/24 05:00:00+00,Saturday,2018,N/A
3497,2021/12/11 05:00:00+00,Saturday,2021,N/A
3498,2017/06/05 04:00:00+00,Monday,2017,N/A
3499,2021/10/03 04:00:00+00,Sunday,2021,N/A
3500,2017/08/31 04:00:00+00,Thursday,2017,N/A
3501,2022/03/26 04:00:00+00,Sunday,2022,N/A
3502,2017/07/24 04:00:00+00,Monday,2017,N/A
3503,2019/09/26 04:00:00+00,Thursday,2019,N/A
3504,2017/10/02 04:00:00+00,Monday,2017,N/A
3505,2021/09/25 04:00:00+00,Saturday,2021,Yes
3506,2019/06/13 04:00:00+00,Thursday,2019,N/A
3507,2019/07/05 04:00:00+00,Friday,2019,N/A
3508,2022/11/11 05:00:00+00,Tuesday,2022,N/A
3509,2017/04/11 04:00:00+00,Tuesday,2017,N/A
3510,2017/04/20 04:00:00+00,Thursday,2017,N/A
3511,2017/09/03 04:00:00+00,Sunday,2017,N/A
3512,2017/05/27 04:00:00+00,Saturday,2017,N/A
3513,2018/05/01 04:00:00+00,Tuesday,2018,N/A
3514,2018/08/22 04:00:00+00,Wednesday,2018,N/A
3515,2019/02/10 05:00:00+00,Sunday,2019,N/A
3516,2021/03/16 04:00:00+00,Tuesday,2021,Unknown
3517,2017/07/28 04:00:00+00,Friday,2017,N/A
3518,2021/05/21 04:00:00+00,Friday,2021,Yes
3519,2022/11/13 05:00:00+00,Thursday,2022,Yes
3520,2019/04/19 04:00:00+00,Friday,2019,N/A
3521,2020/10/15 04:00:00+00,Thursday,2020,Yes
3522,2022/10/21 04:00:00+00,Saturday,2022,Yes
3523,2020/01/28 05:00:00+00,Monday,2020,N/A
3524,2020/02/06 05:00:00+00,Thursday,2020,N/A
3525,2018/04/08 04:00:00+00,Sunday,2018,N/A
3526,2019/09/03 04:00:00+00,Tuesday,2019,N/A
3527,2020/08/09 04:00:00+00,Sunday,2020,N/A
3528,2020/11/19 05:00:00+00,Thursday,2020,No
3529,2022/10/13 04:00:00+00,Saturday,2022,Yes
3530,2022/05/27 04:00:00+00,Saturday,2022,Yes
3531,2019/03/06 05:00:00+00,Wednesday,2019,N/A
3532,2018/07/11 04:00:00+00,Wednesday,2018,N/A
3533,2019/12/13 05:00:00+00,Friday,2019,N/A
3534,2021/01/31 05:00:00+00,Sunday,2021,Yes
3535,2020/10/06 04:00:00+00,Tuesday,2020,Yes
3536,2021/04/02 04:00:00+00,Friday,2021,Yes
3537,2021/10/30 04:00:00+00,Saturday,2021,Yes
3538,2020/10/28 04:00:00+00,Wednesday,2020,Unknown
3539,2020/07/01 04:00:00+00,Wednesday,2020,N/A
3540,2018/03/01 05:00:00+00,Thursday,2018,N/A
3541,2017/11/22 05:00:00+00,Wednesday,2017,N/A
3542,2022/08/13 04:00:00+00,Thursday,2022,N/A
3543,2022/04/10 04:00:00+00,Wednesday,2022,Yes
3544,2022/07/09 04:00:00+00,Saturday,2022,N/A
3545,2020/09/26 04:00:00+00,Saturday,2020,Unknown
3546,2017/04/07 04:00:00+00,Saturday,2017,N/A
3547,2020/02/18 05:00:00+00,Tuesday,2020,N/A
3548,2019/12/10 05:00:00+00,Tuesday,2019,N/A
3549,2018/04/27 04:00:00+00,Friday,2018,N/A
3550,2020/07/31 04:00:00+00,Friday,2020,N/A
3551,2021/07/22 04:00:00+00,Thursday,2021,N/A
3552,2020/07/24 04:00:00+00,Friday,2020,N/A
3553,2020/02/15 05:00:00+00,Saturday,2020,N/A
3554,2022/05/04 04:00:00+00,Friday,2022,Yes
3555,2022/10/26 04:00:00+00,Friday,2022,Yes
3556,2022/11/21 05:00:00+00,Thursday,2022,Yes
3557,2021/11/30 05:00:00+00,Tuesday,2021,Yes
3558,2018/11/23 05:00:00+00,Friday,2018,N/A
3559,2019/02/01 05:00:00+00,Friday,2019,N/A
3560,2022/01/07 05:00:00+00,Wednesday,2022,Yes
3561,2022/04/21 04:00:00+00,Saturday,2022,Yes
3562,2018/12/11 05:00:00+00,Tuesday,2018,N/A
3563,2021/02/08 05:00:00+00,Monday,2021,Unknown
3564,2021/04/23 04:00:00+00,Friday,2021,No
3565,2022/03/01 05:00:00+00,Tuesday,2022,N/A
3566,2020/03/02 05:00:00+00,Monday,2020,N/A
3567,2021/06/26 04:00:00+00,Saturday,2021,No
3568,2022/01/28 05:00:00+00,Monday,2022,N/A
3569,2021/06/30 04:00:00+00,Wednesday,2021,Yes
3570,2021/12/19 05:00:00+00,Sunday,2021,Yes
3571,2022/01/05 05:00:00+00,Tuesday,2022,Yes
3572,2018/09/23 04:00:00+00,Sunday,2018,N/A
3573,2022/01/20 05:00:00+00,Monday,2022,Yes
3574,2021/02/07 05:00:00+00,Sunday,2021,Yes
3575,2021/08/26 04:00:00+00,Thursday,2021,Yes
3576,2021/09/02 04:00:00+00,Thursday,2021,N/A
3577,2021/10/05 04:00:00+00,Tuesday,2021,Yes
3578,2021/12/24 05:00:00+00,Friday,2021,Yes
3579,2022/01/05 05:00:00+00,Tuesday,2022,Yes
3580,2022/01/18 05:00:00+00,Monday,2022,Yes
3581,2022/01/23 05:00:00+00,Tuesday,2022,Yes
3582,2022/02/04 05:00:00+00,Sunday,2022,Yes
3583,2022/02/15 05:00:00+00,Wednesday,2022,Yes
3584,2022/03/14 04:00:00+00,Friday,2022,Yes
3585,2022/03/23 04:00:00+00,Tuesday,2022,Yes
3586,2022/03/31 04:00:00+00,Saturday,2022,Yes
3587,2022/05/05 04:00:00+00,Sunday,2022,Yes
3588,2022/05/05 04:00:00+00,Monday,2022,Yes
3589,2019/11/01 04:00:00+00,Friday,2019,N/A
3590,2018/12/01 05:00:00+00,Saturday,2018,N/A
3591,2017/07/11 04:00:00+00,Tuesday,2017,N/A
3592,2019/11/29 05:00:00+00,Friday,2019,N/A
3593,2021/10/02 04:00:00+00,Saturday,2021,N/A
3594,2020/08/08 04:00:00+00,Saturday,2020,N/A
3595,2021/12/24 05:00:00+00,Friday,2021,Yes
3596,2022/07/06 04:00:00+00,Thursday,2022,N/A
3597,2021/10/02 04:00:00+00,Saturday,2021,N/A
3598,2022/10/05 04:00:00+00,Monday,2022,N/A
3599,2020/01/15 05:00:00+00,Wednesday,2020,N/A
3600,2018/08/04 04:00:00+00,Saturday,2018,N/A
3601,2020/03/21 04:00:00+00,Saturday,2020,N/A
3602,2021/01/25 05:00:00+00,Monday,2021,Yes
3603,2017/11/11 05:00:00+00,Saturday,2017,N/A
3604,2018/07/01 04:00:00+00,Sunday,2018,N/A
3605,2019/07/16 04:00:00+00,Tuesday,2019,N/A
3606,2021/06/04 04:00:00+00,Friday,2021,Unknown
3607,2020/07/24 04:00:00+00,Friday,2020,N/A
3608,2022/03/05 05:00:00+00,Tuesday,2022,N/A
3609,2020/12/21 05:00:00+00,Monday,2020,Yes
3610,2021/02/20 05:00:00+00,Saturday,2021,No
3611,2022/09/08 04:00:00+00,Saturday,2022,N/A
3612,2020/10/14 04:00:00+00,Wednesday,2020,Unknown
3613,2020/07/21 04:00:00+00,Tuesday,2020,N/A
3614,2021/03/26 04:00:00+00,Friday,2021,No
3615,2017/07/16 04:00:00+00,Sunday,2017,N/A
3616,2017/07/16 04:00:00+00,Sunday,2017,N/A
3617,2017/07/16 04:00:00+00,Sunday,2017,N/A
3618,2017/08/09 04:00:00+00,Wednesday,2017,N/A
3619,2021/08/04 04:00:00+00,Wednesday,2021,Yes
3620,2019/06/02 04:00:00+00,Sunday,2019,N/A
3621,2019/03/28 04:00:00+00,Thursday,2019,N/A
3622,2019/03/28 04:00:00+00,Thursday,2019,N/A
3623,2019/07/03 04:00:00+00,Wednesday,2019,N/A
3624,2020/02/27 05:00:00+00,Thursday,2020,N/A
3625,2020/09/23 04:00:00+00,Wednesday,2020,Unknown
3626,2017/03/22 04:00:00+00,Wednesday,2017,N/A
3627,2022/06/24 04:00:00+00,Monday,2022,N/A
3628,2019/07/08 04:00:00+00,Monday,2019,N/A
3629,2017/07/06 04:00:00+00,Thursday,2017,N/A
3630,2019/09/17 04:00:00+00,Tuesday,2019,N/A
3631,2019/03/08 05:00:00+00,Friday,2019,N/A
3632,2019/03/31 04:00:00+00,Sunday,2019,N/A
3633,2019/05/04 04:00:00+00,Saturday,2019,N/A
3634,2019/05/16 04:00:00+00,Thursday,2019,N/A
3635,2019/06/02 04:00:00+00,Sunday,2019,N/A
3636,2021/02/10 05:00:00+00,Wednesday,2021,Yes
3637,2021/07/10 04:00:00+00,Saturday,2021,Yes
3638,2021/11/03 04:00:00+00,Wednesday,2021,N/A
3639,2021/02/04 05:00:00+00,Thursday,2021,N/A
3640,2019/07/12 04:00:00+00,Friday,2019,N/A
3641,2021/10/13 04:00:00+00,Wednesday,2021,N/A
3642,2017/05/25 04:00:00+00,Thursday,2017,N/A
3643,2017/05/10 04:00:00+00,Wednesday,2017,N/A
3644,2021/04/19 04:00:00+00,Monday,2021,No
3645,2022/03/20 04:00:00+00,Monday,2022,Yes
3646,2017/04/30 04:00:00+00,Sunday,2017,N/A
3647,2020/03/28 04:00:00+00,Saturday,2020,N/A
3648,2021/02/12 05:00:00+00,Friday,2021,Yes
3649,2017/12/10 05:00:00+00,Sunday,2017,N/A
3650,2019/11/08 05:00:00+00,Friday,2019,N/A
3651,2021/02/10 05:00:00+00,Wednesday,2021,Yes
3652,2018/03/04 05:00:00+00,Sunday,2018,N/A
3653,2018/07/16 04:00:00+00,Monday,2018,N/A
3654,2019/10/23 04:00:00+00,Wednesday,2019,N/A
3655,2020/09/11 04:00:00+00,Friday,2020,N/A
3656,2018/02/19 05:00:00+00,Monday,2018,N/A
3657,2018/03/10 05:00:00+00,Saturday,2018,N/A
3658,2018/07/17 04:00:00+00,Tuesday,2018,N/A
3659,2021/02/25 05:00:00+00,Thursday,2021,No
3660,2018/05/05 04:00:00+00,Saturday,2018,N/A
3661,2020/03/03 05:00:00+00,Tuesday,2020,N/A
3662,2021/11/17 05:00:00+00,Wednesday,2021,N/A
3663,2021/01/04 05:00:00+00,Monday,2021,No
3664,2019/05/06 04:00:00+00,Monday,2019,N/A
3665,2018/12/14 05:00:00+00,Friday,2018,N/A
3666,2022/04/30 04:00:00+00,Tuesday,2022,No
3667,2017/12/05 05:00:00+00,Tuesday,2017,N/A
3668,2019/05/22 04:00:00+00,Wednesday,2019,N/A
3669,2019/05/31 04:00:00+00,Friday,2019,N/A
3670,2019/10/05 04:00:00+00,Saturday,2019,N/A
3671,2020/09/06 04:00:00+00,Sunday,2020,N/A
3672,2021/04/17 04:00:00+00,Saturday,2021,Yes
3673,2018/12/01 05:00:00+00,Saturday,2018,N/A
3674,2017/10/08 04:00:00+00,Sunday,2017,N/A
3675,2019/02/03 05:00:00+00,Sunday,2019,N/A
3676,2019/12/14 05:00:00+00,Saturday,2019,N/A
3677,2018/11/03 04:00:00+00,Saturday,2018,N/A
3678,2021/12/22 05:00:00+00,Wednesday,2021,Yes
3679,2019/05/13 04:00:00+00,Monday,2019,N/A
3680,2018/12/04 05:00:00+00,Tuesday,2018,N/A
3681,2020/07/14 04:00:00+00,Tuesday,2020,N/A
3682,2017/09/14 04:00:00+00,Thursday,2017,N/A
3683,2020/08/09 04:00:00+00,Sunday,2020,N/A
3684,2020/12/29 05:00:00+00,Tuesday,2020,Unknown
3685,2021/11/22 05:00:00+00,Monday,2021,Yes
3686,2017/05/11 04:00:00+00,Thursday,2017,N/A
3687,2018/09/09 04:00:00+00,Sunday,2018,N/A
3688,2020/10/15 04:00:00+00,Thursday,2020,Yes
3689,2020/12/01 05:00:00+00,Tuesday,2020,Yes
3690,2021/05/02 04:00:00+00,Sunday,2021,Yes
3691,2021/05/07 04:00:00+00,Friday,2021,Yes
3692,2021/06/01 04:00:00+00,Tuesday,2021,Yes
3693,2021/09/03 04:00:00+00,Friday,2021,N/A
3694,2021/10/02 04:00:00+00,Saturday,2021,Yes
3695,2022/02/02 05:00:00+00,Thursday,2022,Yes
3696,2022/02/04 05:00:00+00,Sunday,2022,Yes
3697,2022/02/07 05:00:00+00,Wednesday,2022,N/A
3698,2022/02/16 05:00:00+00,Wednesday,2022,N/A
3699,2022/04/22 04:00:00+00,Sunday,2022,N/A
3700,2022/05/19 04:00:00+00,Wednesday,2022,Yes
3701,2021/05/02 04:00:00+00,Sunday,2021,Yes
3702,2022/10/14 04:00:00+00,Sunday,2022,Yes
3703,2021/06/21 04:00:00+00,Monday,2021,Unknown
3704,2021/07/10 04:00:00+00,Saturday,2021,Yes
3705,2022/01/02 05:00:00+00,Friday,2021,Yes
3706,2020/07/22 04:00:00+00,Wednesday,2020,N/A
3707,2018/02/26 05:00:00+00,Monday,2018,N/A
3708,2022/11/10 05:00:00+00,Monday,2022,Yes
3709,2022/12/01 05:00:00+00,Wednesday,2022,N/A
3710,2020/05/15 04:00:00+00,Friday,2020,N/A
3711,2017/12/14 05:00:00+00,Thursday,2017,N/A
3712,2020/07/24 04:00:00+00,Friday,2020,N/A
3713,2020/06/20 04:00:00+00,Saturday,2020,N/A
3714,2019/05/17 04:00:00+00,Friday,2019,N/A
3715,2020/06/29 04:00:00+00,Monday,2020,N/A
3716,2019/01/24 05:00:00+00,Thursday,2019,N/A
3717,2020/12/20 05:00:00+00,Sunday,2020,Yes
3718,2018/03/26 04:00:00+00,Monday,2018,N/A
3719,2018/11/13 05:00:00+00,Tuesday,2018,N/A
3720,2021/04/14 04:00:00+00,Wednesday,2021,Yes
3721,2019/08/07 04:00:00+00,Wednesday,2019,N/A
3722,2022/03/21 04:00:00+00,Monday,2022,Yes
3723,2021/09/30 04:00:00+00,Thursday,2021,Yes
3724,2021/12/28 05:00:00+00,Tuesday,2021,Yes
3725,2022/03/20 04:00:00+00,Saturday,2022,Yes
3726,2019/03/25 04:00:00+00,Monday,2019,N/A
3727,2020/02/18 05:00:00+00,Tuesday,2020,N/A
3728,2021/05/27 04:00:00+00,Thursday,2021,No
3729,2018/07/23 04:00:00+00,Monday,2018,N/A
3730,2022/07/15 04:00:00+00,Saturday,2022,Yes
3731,2019/04/15 04:00:00+00,Monday,2019,N/A
3732,2017/06/25 04:00:00+00,Sunday,2017,N/A
3733,2017/08/16 04:00:00+00,Wednesday,2017,N/A
3734,2017/10/05 04:00:00+00,Thursday,2017,N/A
3735,2018/09/17 04:00:00+00,Monday,2018,N/A
3736,2018/11/26 05:00:00+00,Monday,2018,N/A
3737,2019/01/23 05:00:00+00,Wednesday,2019,N/A
3738,2019/06/03 04:00:00+00,Monday,2019,N/A
3739,2020/06/27 04:00:00+00,Saturday,2020,N/A
3740,2020/08/08 04:00:00+00,Saturday,2020,N/A
3741,2020/09/18 04:00:00+00,Friday,2020,Yes
3742,2021/01/18 05:00:00+00,Monday,2021,Yes
3743,2021/01/18 05:00:00+00,Monday,2021,Yes
3744,2021/09/08 04:00:00+00,Wednesday,2021,No
3745,2022/11/12 05:00:00+00,Wednesday,2022,Yes
3746,2020/11/14 05:00:00+00,Saturday,2020,Yes
3747,2020/05/21 04:00:00+00,Thursday,2020,N/A
3748,2020/08/31 04:00:00+00,Monday,2020,N/A
3749,2022/04/15 04:00:00+00,Sunday,2022,N/A
3750,2022/10/21 04:00:00+00,Saturday,2022,Yes
3751,2020/06/19 04:00:00+00,Friday,2020,N/A
3752,2021/01/06 05:00:00+00,Wednesday,2021,Unknown
3753,2022/11/07 05:00:00+00,Thursday,2022,N/A
3754,2022/12/14 05:00:00+00,Wednesday,2022,Yes
3755,2021/02/06 05:00:00+00,Saturday,2021,Yes
3756,2021/02/24 05:00:00+00,Wednesday,2021,Yes
3757,2018/12/21 05:00:00+00,Friday,2018,N/A
3758,2020/03/11 04:00:00+00,Wednesday,2020,N/A
3759,2021/04/30 04:00:00+00,Friday,2021,No
3760,2018/08/31 04:00:00+00,Friday,2018,N/A
3761,2018/10/30 04:00:00+00,Tuesday,2018,N/A
3762,2018/11/01 04:00:00+00,Thursday,2018,N/A
3763,2022/10/16 04:00:00+00,Monday,2022,Yes
3764,2020/08/17 04:00:00+00,Monday,2020,N/A
3765,2019/10/15 04:00:00+00,Tuesday,2019,N/A
3766,2020/05/13 04:00:00+00,Wednesday,2020,N/A
3767,2021/01/05 05:00:00+00,Tuesday,2021,No
3768,2021/05/06 04:00:00+00,Thursday,2021,Yes
3769,2021/06/02 04:00:00+00,Wednesday,2021,No
3770,2021/08/14 04:00:00+00,Saturday,2021,Yes
3771,2022/01/02 05:00:00+00,Friday,2021,N/A
3772,2022/06/24 04:00:00+00,Tuesday,2022,N/A
3773,2017/12/03 05:00:00+00,Sunday,2017,N/A
3774,2018/08/02 04:00:00+00,Thursday,2018,N/A
3775,2018/10/13 04:00:00+00,Saturday,2018,N/A
3776,2018/10/21 04:00:00+00,Sunday,2018,N/A
3777,2020/11/19 05:00:00+00,Thursday,2020,Yes
3778,2021/03/12 05:00:00+00,Friday,2021,Unknown
3779,2021/10/24 04:00:00+00,Sunday,2021,N/A
3780,2022/08/20 04:00:00+00,Friday,2022,N/A
3781,2022/12/19 05:00:00+00,Monday,2022,Yes
3782,2020/05/08 04:00:00+00,Friday,2020,N/A
3783,2019/10/22 04:00:00+00,Tuesday,2019,N/A
3784,2021/08/13 04:00:00+00,Friday,2021,N/A
3785,2022/05/26 04:00:00+00,Friday,2022,Yes
3786,2019/04/02 04:00:00+00,Tuesday,2019,N/A
3787,2021/08/06 04:00:00+00,Friday,2021,N/A
3788,2021/08/09 04:00:00+00,Monday,2021,Yes
3789,2021/08/11 04:00:00+00,Wednesday,2021,N/A
3790,2021/10/15 04:00:00+00,Friday,2021,Yes
3791,2021/11/24 05:00:00+00,Wednesday,2021,N/A
3792,2022/03/11 05:00:00+00,Thursday,2022,Yes
3793,2022/08/19 04:00:00+00,Wednesday,2022,N/A
3794,2022/10/10 04:00:00+00,Wednesday,2022,Yes
3795,2018/11/27 05:00:00+00,Tuesday,2018,N/A
3796,2017/11/08 05:00:00+00,Wednesday,2017,N/A
3797,2021/11/04 04:00:00+00,Thursday,2021,N/A
3798,2022/06/28 04:00:00+00,Friday,2022,Yes
3799,2022/07/02 04:00:00+00,Wednesday,2022,N/A
3800,2020/09/01 04:00:00+00,Tuesday,2020,N/A
3801,2022/02/24 05:00:00+00,Wednesday,2022,N/A
3802,2020/07/19 04:00:00+00,Sunday,2020,N/A
3803,2022/04/16 04:00:00+00,Sunday,2022,N/A
3804,2022/08/20 04:00:00+00,Friday,2022,N/A
3805,2022/07/06 04:00:00+00,Thursday,2022,Yes
3806,2019/08/11 04:00:00+00,Sunday,2019,N/A
